car_reg,purchase_date,county,make,model,type,colour,tax_band,price
201-D-3536,2020-Jan-21,Dublin,opel,grandland x : suv,,<colour>White</colour>,B,34580
182-D-2689,2018-Jul-05,Dublin,audi,a4 : estate,,<colour>Red</colour>,B,51566
XXX-X-4651,2019-01-18,Waterford,Mercedes : GLC-Class (SUV),,,white,c,49696
XXX-X-4624,2020-01-19,Dublin,Mercedes : A-Class (Saloon),,,silver,b,50653
202-g-3793,14 Aug,GALWAY,Mazda : Mazda6,,Estate,BLUE,2,35631
181-D-1100,2018-Mar-04,,opel,ASTRA,Hatchback,#FFA500,A,27752
181-C-3655,2018-Jan-04,Cork,toyota,camery : saloon,,<colour>Silver</colour>,B,42782
201-G-3822,2020-Jan-22,Galway,ford,mondeo : saloon,,<colour>White</colour>,B,40020
XXX-X-1090,2019-07-15,Waterford,Opel : Astra (Hatchback),,,silver,a,29584
XXX-X-3974,2018-01-07,Limerick,Audi : Q7 (SUV),,,red,d,111827
XXX-X-3602,2018-02-06,Cork,BMW : 5 Series (Estate),,,white,c,73070
181-D-1518,2018-Feb-01,,ford,MUSTANG,Coupe,#0000FF,C,66706
192-L-3299,2019-Jul-17,,opel,GRANDLAND X,SUV,#FF0000,B,31711
192-d-4291,19 Jul,DUBLIN,Toyota : Prius,,Hatchback,SILVER,2,35555
XXX-X-4630,2018-06-05,Dublin,Audi : A4 (Estate),,,blue,b,45583
201-D-3290,2020-Jan-19,,opel,GRANDLAND X,SUV,#FF0000,B,49149
XXX-X-1605,2018-01-11,Cork,Toyota : Rav4 (SUV),,,silver,b,42148
191-D-873,2019-Feb-24,,mercedes,C-CLASS,Saloon,#0000FF,B,94356
181-D-4320,2018-May-03,,Opel,Astra,Estate,White,B,26409
202-d-1688,15 Aug,DUBLIN,Toyota : Yaris,,Hatchback,SILVER,1,16495
XXX-X-1152,2018-02-12,Dublin,Mazda : Mazda3 (Hatchback),,,silver,b,33806
201-C-3317,2020-Mar-06,Cork,ford,focus : estate,,<colour>Red</colour>,A,25507
181-D-3284,2018-Jan-02,Dublin,toyota,camery : saloon,,<colour>Red</colour>,B,39547
201-L-3968,2020-Mar-11,,ford,FOCUS,Estate,#FF0000,A,41069
201-d-3706,03 Jan,DUBLIN,Audi : A6,,Saloon,WHITE,3,50240
182-g-924,03 Jul,GALWAY,Opel : Corsa,,Hatchback,WHITE,1,20254
XXX-X-2358,2019-03-20,Dublin,Mazda : Mazda6 (Saloon),,,red,b,46098
192-G-1449,2019-Jul-27,,BMW,5 Series,Estate,Red,C,80394
181-l-1024,23 Jan,LIMERICK,Ford : Fiesta,,Hatchback,WHITE,1,23717
181-D-1626,2018-Jan-09,,ford,KUGA,SUV,#0000FF,B,33456
XXX-X-4517,2019-05-21,Cork,Audi : A6 (Saloon),,,white,c,84773
181-d-2105,01 Jan,DUBLIN,BMW : X3,,SUV,WHITE,3,102710
XXX-X-4190,2018-02-12,Dublin,Mercedes : C-Class (Saloon),,,blue,b,85703
192-D-543,2019-Jul-05,Dublin,mercedes,a-class : saloon,,<colour>Blue</colour>,B,44153
192-D-3887,2019-Aug-22,,ford,FOCUS,Estate,#0000FF,A,41300
XXX-X-1999,2018-02-26,Galway,Opel : Grandland X (SUV),,,red,b,49196
191-W-365,2019-Jan-27,Waterford,bmw,2 series : coupe,,<colour>Silver</colour>,B,90359
181-C-1725,2018-Feb-14,,BMW,3 Series,Saloon,Silver,B,50759
201-g-1506,24 Jan,GALWAY,Mercedes : A-Class,,Hatchback,WHITE,2,33041
181-d-4794,05 Jan,DUBLIN,Toyota : Corolla,,Saloon,RED,2,28549
XXX-X-4140,2018-02-05,Galway,Ford : Mondeo (Saloon),,,white,b,37671
XXX-X-3906,2018-01-25,Dublin,Toyota : Prius (Hatchback),,,white,b,36739
201-L-4147,2020-Feb-25,,Ford,Mondeo,Saloon,Orange,B,34616
XXX-X-4400,2020-01-03,Cork,Opel : Astra (Hatchback),,,silver,a,32074
XXX-X-152,2020-02-20,Dublin,Toyota : Rav4 (SUV),,,silver,b,36526
201-D-3315,2020-Jan-11,Dublin,mercedes,amg-gt : hatchback,,<colour>Blue</colour>,D,174366
181-w-496,04 Mar,WATERFORD,Ford : Focus,,Hatchback,WHITE,1,23699
XXX-X-2576,2018-07-17,Dublin,Mazda : CX-5 (SUV),,,blue,b,43448
XXX-X-4961,2019-03-20,Cork,Toyota : Prius (Hatchback),,,blue,b,35062
201-G-2411,2020-Apr-15,,Opel,Corsa,Hatchback,Silver,A,22800
191-D-1083,2019-Apr-20,,Opel,Insignia,Hatchback,White,B,28516
181-C-4023,2018-Jan-10,Cork,mazda,mazda3 : saloon,,<colour>Red</colour>,B,33180
201-D-1833,2020-Jan-17,,Toyota,Rav4,SUV,White,B,49175
XXX-X-4790,2019-01-01,Dublin,Toyota : Rav4 (SUV),,,red,b,47008
202-W-1138,2020-Jul-23,,toyota,RAV4,SUV,#0000FF,B,48118
XXX-X-1591,2020-01-03,Cork,Opel : Insignia (Hatchback),,,white,b,33591
191-C-2278,2019-Mar-08,,audi,A6,Saloon,#FFFFFF,C,51356
201-D-1033,2020-Mar-17,,Opel,Corsa,Hatchback,Blue,A,17069
202-C-802,2020-Sep-01,,audi,Q7,SUV,#C0C0C0,D,99547
191-D-2044,2019-Jan-16,,ford,FOCUS,Hatchback,#FFFFFF,A,36014
191-L-1703,2019-Mar-21,,Ford,Kuga,SUV,Red,B,39897
201-D-1084,2020-Mar-11,Dublin,opel,grandland x : suv,,<colour>White</colour>,B,36449
201-C-1667,2020-Jan-21,Cork,audi,a4 : estate,,<colour>Red</colour>,B,47623
191-D-34,2019-Jan-13,,mazda,MAZDA3,Saloon,#FFFFFF,B,31075
191-D-3580,2019-Jan-13,,Ford,Kuga,SUV,White,B,41530
182-L-3420,2018-Jul-01,,ford,MONDEO,Saloon,#FFFFFF,B,39093
181-g-2792,05 Jan,GALWAY,Ford : Mustang,,Coupe,SILVER,3,64656
181-C-4445,2018-Mar-20,,BMW,2 series,Coupe,White,B,52006
182-C-3972,2018-Jul-14,,BMW,3 Series,Hatchback,White,C,57218
202-d-2074,14 Jul,DUBLIN,Opel : Crossland X,,SUV,WHITE,1,26724
191-W-307,2019-Feb-03,,Ford,Focus,Hatchback,Red,A,40343
192-d-236,27 Jul,DUBLIN,Opel : Insignia,,Hatchback,WHITE,2,34319
181-D-1160,2018-Feb-22,Dublin,toyota,yaris : hatchback,,<colour>Silver</colour>,A,16617
201-d-1516,17 May,DUBLIN,Mazda : Mazda3,,Saloon,SILVER,2,37773
XXX-X-4334,2018-08-25,Dublin,BMW : 3 Series (Estate),,,white,b,43949
192-d-3887,23 Jul,DUBLIN,Ford : Focus,,Estate,RED,1,35691
201-W-4110,2020-Jan-04,Waterford,mercedes,a-class : hatchback,,<colour>Silver</colour>,B,43480
XXX-X-766,2020-07-23,Cork,BMW : X3 (SUV),,,blue,c,125855
XXX-X-1261,2020-07-16,Dublin,Mazda : Mazda3 (Hatchback),,,blue,b,36094
181-c-1919,10 Mar,CORK,Toyota : Yaris,,Hatchback,BLUE,1,16091
201-D-3604,2020-Mar-16,,audi,Q3,SUV,#FF0000,B,54222
XXX-X-2255,2020-02-15,Galway,Mazda : Mazda6 (Saloon),,,blue,b,40811
181-D-3534,2018-Jan-02,,Mazda,Mazda3,Hatchback,White,B,36204
202-d-4726,20 Jul,DUBLIN,Opel : Crossland X,,SUV,BLUE,1,25859
XXX-X-2587,2019-07-10,Limerick,Mercedes : A-Class (Hatchback),,,white,b,43714
XXX-X-1430,2019-04-16,Dublin,BMW : 2 series (Coupe),,,silver,b,85330
201-c-460,09 Feb,CORK,Toyota : Yaris,,Hatchback,BLUE,1,16425
201-L-3767,2020-Feb-22,,Toyota,Rav4,SUV,Red,B,40307
201-D-3912,2020-Jan-25,,Mercedes,C-Class,Estate,Red,B,85378
201-D-1224,2020-May-25,Dublin,ford,focus : estate,,<colour>Silver</colour>,A,34822
191-d-4822,21 Mar,DUBLIN,Toyota : Rav4,,SUV,WHITE,2,49216
181-G-1412,2018-Mar-09,Galway,toyota,rav4 : suv,,<colour>Blue</colour>,B,39084
202-D-1246,2020-Aug-13,,Ford,Kuga,SUV,White,B,48699
181-D-402,2018-Feb-23,Dublin,audi,a6 : estate,,<colour>Blue</colour>,C,57756
201-c-668,08 Mar,CORK,Opel : Insignia,,Hatchback,WHITE,2,30278
XXX-X-4552,2020-07-15,Galway,Mercedes : GLC-Class (SUV),,,white,c,119810
201-D-4562,2020-Mar-03,,Mazda,Mazda6,Estate,White,B,41257
XXX-X-3212,2020-05-11,Dublin,Mazda : Mazda3 (Saloon),,,blue,b,37664
191-D-3121,2019-Feb-05,,ford,MONDEO,Hatchback,#FFFFFF,B,37093
192-l-1825,26 Aug,LIMERICK,Mercedes : C-Class,,Estate,ORANGE,2,54965
191-C-4666,2019-Jan-17,,Opel,Astra,Hatchback,Red,A,30559
191-D-715,2019-Feb-09,,Ford,Focus,Estate,Silver,A,36289
XXX-X-732,2020-08-26,Dublin,Opel : Crossland X (SUV),,,white,a,25362
XXX-X-3312,2020-04-12,Dublin,Audi : Q3 (SUV),,,white,b,46143
XXX-X-4869,2020-07-13,Galway,Opel : Crossland X (SUV),,,orange,a,23034
202-C-3162,2020-Jul-16,,Opel,Crossland X,SUV,White,A,24499
XXX-X-1267,2020-02-18,Dublin,BMW : 2 series (Coupe),,,white,b,118607
192-c-1101,23 Jul,CORK,Mercedes : C-Class,,Estate,WHITE,2,119328
182-D-1984,2018-Jul-03,,mercedes,C-CLASS,Saloon,#FF0000,B,65431
XXX-X-1298,2020-07-15,Galway,Audi : Q7 (SUV),,,white,d,91965
181-D-2329,2018-Mar-27,,Mazda,Mazda6,Estate,Silver,B,39330
202-D-1579,2020-Jul-14,,Opel,Corsa,Hatchback,Blue,A,18339
XXX-X-4999,2019-03-05,Waterford,BMW : 7 Series (Saloon),,,orange,d,131821
